Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1261,-2391,-3410,-3397,-1591
Net cash used for investing activites,-1131,-2339,-3271,-3254,-348
Debt repayment,-758,-1933,-5182,-3487,-15774
Common stock issued,-,30,-,732,1601
Common stock repurchased,-1039,-914,-743,-981,-162
Dividends Paid,-1856,-1870,-1861,-1870,-2559
Net cash used privided by (used for) financing activities,-2098,-4687,1809,-5211,-5591
Net change in cash,5410,-457,-4502,1166,1125
Cash at beginning of period,2614,3419,4634,4518,3264
Cash at end of period,8024,4166,3419,4634,4518
Capital Expenditure,-1261,-2391,-3410,-3397,-1591
Free Cash Flow,7378,4178,-6450,6234,5473
