Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1733329,1733329,1445431,1355212,1298150
Interest Expense,298229,298229,150257,93819,82624
Income Before Tax,357167,357167,401724,245160,338245
Income Tax Expense,50241,50241,86096,-33624,116528
Income from Continuing Operations,306926,306926,315628,278784,221717
Net Income,295468,295468,304358,268637,212124
Net Income available to common shareholders,285473,285473,289247,242912,192687
Basic EPS,-,-,3.44,2.83,2.26
Diluted EPS,-,-,3.42,2.83,2.26
Basic Average Shares,-,-,42319,85706,84964
Diluted Average Shares,-,-,42319,85914,85263
