Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,58314,58314,50227,40644,36151
Interest Expense,10477,10477,8247,6438,4885
Income Before Tax,17710,17710,10593,11018,6766
Income Tax Expense,3860,3860,2226,5539,2283
Income from Continuing Operations,13850,13850,8367,5479,4483
Net Income,13850,13850,8367,5479,4483
Net Income available to common shareholders,13850,13850,8367,5479,4483
Basic EPS,-,-,0.94,0.87,0.72
Diluted EPS,-,-,0.94,0.87,0.71
Basic Average Shares,-,-,8892,6289,6236
Diluted Average Shares,-,-,8922,6322,6289
