Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3,-3,-,-,-
Purchases of investments,-91334,-91334,-71170,-77321,-149037
Sales/Maturities of investments,164307,164307,44987,88090,59174
Net cash used for investing activites,72970,72970,-26183,10769,-89863
Debt repayment,-30000,-30000,-,-,-
Common stock issued,-,-,-,-,88723
Common stock repurchased,-,-,-,-,22000
Dividends Paid,-41945,-41945,-40150,-39505,-34937
Net cash used privided by (used for) financing activities,-71945,-71945,-40150,-31505,55786
Net change in cash,61021,61021,-18661,23151,8411
Cash at beginning of period,22816,22816,41477,18326,9914
Cash at end of period,83837,83837,22816,41477,18326
Capital Expenditure,-3,-3,-,-,-
Free Cash Flow,59993,59993,47673,43888,42489
