Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017
Net Income,333683,272745,221879,156903
Depreciation & amortization,-,50266,44569,44699
Change in working capital,-,-28608,105539,-266048
Inventory,-,-58899,-124383,-26702
Other working capital,-,309718,358019,-207612
Other non-cash items,-,33989,-476,14314
Net cash provided by operating activites,-,371809,392716,-139247
Investments in property plant and equipment,-,-62091,-34697,-68365
Purchases of investments,-,-154936,-1837,-1988
Sales/Maturities of investments,-,164108,-,-
Other investing activites,-,-154,-17770,-20832
Net cash used for investing activites,-,-53073,62407,-45969
Net change in cash,-,1244123,480015,-349551
Cash at beginning of period,-,1044248,564232,913784
Cash at end of period,-,2288371,1044248,564232
Operating Cash Flow,-,371809,392716,-139247
Capital Expenditure,-,-62091,-34697,-68365
Free Cash Flow,-,309718,358019,-207612
