Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3798000,4089000,4236000,3977000
Depreciation & amortization,-,6379000,6355000,5834000
Change in working capital,-,-996000,-1801000,-1936000
Inventory,-,-229000,-766000,-2328000
Other working capital,-,10375000,9970000,7894000
Other non-cash items,-,614000,1166000,-136000
Net cash provided by operating activites,-,10375000,9970000,7894000
Purchases of investments,-,-244000,-30000,-35000
Sales/Maturities of investments,-,226000,0,134000
Other investing activites,-,-4936000,-5979000,-7929000
Net cash used for investing activites,-,-4937000,-5979000,-7776000
Net change in cash,-,327000,177000,175000
Cash at beginning of period,-,2468000,2290000,2114000
Cash at end of period,-,2795000,2468000,2290000
Operating Cash Flow,-,10375000,9970000,7894000
Free Cash Flow,-,10375000,9970000,7894000
