Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-336.783,-,-1025,-
Acquisitions net,-,-,-,-245,-
Other investing activites,-,-,-,-,32.534
Net cash used for investing activites,174.238,-336.783,433.293,-1270,55.034
Common stock issued,-,-,3630,2612,-
Common stock repurchased,-,-,-128,-126.816,-
Net cash used privided by (used for) financing activities,-,-,3502,2485,250
Net change in cash,-296.044,-936.302,3487,508.317,-98.802
Cash at beginning of period,3613,4256,769.149,260.832,359.634
Cash at end of period,3317,3320,4256,769.149,260.832
Capital Expenditure,-,-336.783,-,-1025,-
Free Cash Flow,-549.168,-936.302,-448.04,-1732,-403.836
