Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,3237167,2712745,2573375
Liabilities,,,
Total Liabilities,2930985,2558165,2415169
Stockholders' Equity,,,
Common Stock,18036,14772,15154
Retained Earnings,146696,119834,120589
Accumulated other comprehensive income,958,-2243,-446
Total stockholders' equity,306182,154580,158206
Total liabilities and stockholders' equity,3237167,2712745,2573375
