Breakdown,12/31/2019,12/31/2018
Total Assets,328381,266332
Liabilities,,
Total Liabilities,60,210
Stockholders' Equity,,
Common Stock,265876,265876
Retained Earnings,62445,246
Total stockholders' equity,328321,266122
Total liabilities and stockholders' equity,328381,266332
