Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-376.312,-310.15,-803.403,-671.67
Other investing activites,-,-,383.199,-383.199
Net cash used for investing activites,-328.621,-310.15,-420.204,-1055
Common stock issued,-,-,-,6339
Common stock repurchased,-,-,9.477,-1156
Net cash used privided by (used for) financing activities,-,-,9.477,5183
Net change in cash,-112.517,-1650,-1533,3218
Cash at beginning of period,1046,1948,3481,262.518
Cash at end of period,932.987,298.125,1948,3481
Capital Expenditure,-376.312,-310.15,-803.403,-671.67
Free Cash Flow,-1501,-1650,-1926,-1581
