Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5482000,6864000,8070000,4788000
Depreciation & amortization,10974000,9401000,8659000,7402000
Change in working capital,3741000,5095000,-3896000,-4929000
Inventory,-2606000,8085000,-7061000,-9986000
Other working capital,5001000,9033000,4625000,-7194000
Other non-cash items,-1334000,-3000,1792000,1234000
Net cash provided by operating activites,21595000,23811000,18925000,3951000
Investments in property plant and equipment,-16594000,-14778000,-14300000,-11145000
Acquisitions net,-11298000,-10635000,-1665000,-69557000
Purchases of investments,-8000,-998000,-,-7000
Sales/Maturities of investments,-,598000,-,0
Other investing activites,-4000,1428000,69000,-1095000
Net cash used for investing activites,-24704000,-24983000,-15896000,-81754000
Net change in cash,9511000,23564000,6071000,-13288000
Cash at beginning of period,25239000,18529000,12457000,27754000
Cash at end of period,34831000,42093000,18529000,14468000
Operating Cash Flow,21595000,23811000,18925000,3951000
Capital Expenditure,-16594000,-14778000,-14300000,-11145000
Free Cash Flow,5001000,9033000,4625000,-7194000
