Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-166.316,-,-1127
Acquisitions net,-,-,-,0.246
Net cash used for investing activites,-,-92.082,-,-1127
Common stock issued,-,1600,1541,5526
Common stock repurchased,-,-57.53,-,-348.957
Net cash used privided by (used for) financing activities,-,1542,1541,5177
Net change in cash,-1336,315.686,-470.541,3848
Cash at beginning of period,3273,3725,4192,344.84
Cash at end of period,1937,4041,3725,4192
Capital Expenditure,-,-166.316,-,-1127
Free Cash Flow,-2608,-1301,-2012,-1328
