Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-66.221,-82.028,-1361
Purchases of investments,-,-,-7000
Sales/Maturities of investments,-,3000,-
Net cash used for investing activites,6934,2918,-8321
Debt repayment,-,-,-1676
Common stock issued,-,-,15801
Common stock repurchased,-,-5.189,-735.416
Net cash used privided by (used for) financing activities,-2043,-5.189,14109
Net change in cash,1288,-1205,4261
Cash at beginning of period,4124,4275,14.803
Cash at end of period,5411,3070,4275
Capital Expenditure,-66.221,-82.028,-1361
Free Cash Flow,-3669,-4200,-2889
