Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-5044,-2828
Net cash used for investing activites,-5044,-2828
Common stock issued,3144,7100
Common stock repurchased,-,-536.62
Net cash used privided by (used for) financing activities,3144,7063
Net change in cash,-2373,3332
Cash at beginning of period,5063,-
Cash at end of period,2690,3332
Capital Expenditure,-5044,-2828
Free Cash Flow,-5517,-3732
