Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,19203000,18527000,23639000,21797000
Depreciation & amortization,-,4430000,4249000,4551000
Change in working capital,-,-144001000,3848000,209641000
Other working capital,-,-157972000,-747000,222844000
Other non-cash items,-,-87614000,-94491000,-72775000
Net cash provided by operating activites,-,-150925000,3870000,226523000
Investments in property plant and equipment,-,-7047000,-4617000,-3679000
Purchases of investments,-,-417157000,-342103000,-343737000
Sales/Maturities of investments,-,661539000,289170000,353941000
Other investing activites,-,-,1000,1000
Net cash used for investing activites,-,237490000,-57093000,6797000
Net change in cash,-,82231000,-57346000,225916000
Cash at beginning of period,-,726157000,783504000,557587000
Cash at end of period,-,808389000,726157000,783504000
Operating Cash Flow,-,-150925000,3870000,226523000
Capital Expenditure,-,-7047000,-4617000,-3679000
Free Cash Flow,-,-157972000,-747000,222844000
