Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-4264,-4264
Acquisitions net,-7121,-7121
Net cash used for investing activites,-11216,-11216
Debt repayment,-3480,-3480
Common stock issued,23500,23500
Common stock repurchased,-951.652,-951.652
Other financing activites,-1986,-1986
Net cash used privided by (used for) financing activities,16450,16450
Net change in cash,13210,13210
Cash at beginning of period,535.53,535.53
Cash at end of period,14386,14386
Capital Expenditure,-4264,-4264
Free Cash Flow,3713,3713
