Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,725000,1132000,168000,-624000
Depreciation & amortization,-,599000,650000,798000
Change in working capital,-,-958000,-1436000,1348000
Inventory,-,-635000,52000,-392000
Other working capital,-,298000,-1623000,1318000
Other non-cash items,-,8000,-39000,-92000
Net cash provided by operating activites,-,690000,-1359000,1695000
Investments in property plant and equipment,-,-392000,-264000,-377000
Acquisitions net,-,-169000,-41000,-48000
Purchases of investments,-,-73000,-34000,-306000
Sales/Maturities of investments,-,848000,493000,262000
Other investing activites,-,62000,-3000,-4000
Net cash used for investing activites,-,312000,193000,-474000
Net change in cash,-,680000,-1189000,678000
Cash at beginning of period,-,2595000,3784000,2963000
Cash at end of period,-,3275000,2595000,3784000
Operating Cash Flow,-,690000,-1359000,1695000
Capital Expenditure,-,-392000,-264000,-377000
Free Cash Flow,-,298000,-1623000,1318000
