Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,245415,245415,278333,201685,169985
Interest Expense,38281,38281,27111,15340,12253
Income Before Tax,72494,72494,119781,40394,-69481
Income Tax Expense,21226,21226,32241,23056,-12664
Income from Continuing Operations,51268,51268,87540,17338,-56817
Net Income,51559,51559,88677,21673,-96492
Net Income available to common shareholders,51559,51559,88677,21673,-96492
Basic EPS,-,-,1.57,0.39,-2.17
Diluted EPS,-,-,1.55,0.39,-2.17
Basic Average Shares,-,-,56344,55687,44567
Diluted Average Shares,-,-,57068,56176,44776
