Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-4892,-3640,-9873,-3946,-12151
Acquisitions net,-,-,-,254.605,-
Other investing activites,-,-,-,-7146,-
Net cash used for investing activites,-4960,-2911,-9873,-10838,-12151
Common stock issued,4007,42007,9683,10067,14572
Other financing activites,-104.182,-104.182,-,-81.178,-
Net cash used privided by (used for) financing activities,4056,41902,9683,9986,14572
Net change in cash,-5075,34777,-3706,-4704,-1120
Cash at beginning of period,9322,3059,6765,11469,12589
Cash at end of period,4247,37505,3059,6765,11469
Capital Expenditure,-4892,-3640,-9873,-3946,-12151
Free Cash Flow,-9063,-7855,-13389,-7798,-15692
