Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1129290,1427293,1314931
Liabilities,,,
Total Liabilities,395842,637438,464189
Stockholders' Equity,,,
Common Stock,863.068,863.068,863.068
Total stockholders' equity,733449,789855,850742
Total liabilities and stockholders' equity,1129290,1427293,1314931
