Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,58691,58161,53615,43772
Interest Expense,4453,2815,2349,1869
Income Before Tax,22284,22412,17997,10791
Income Tax Expense,5223,5146,7755,3387
Income from Continuing Operations,17061,17266,10242,7404
Net Income,17061,17266,10242,7404
Net Income available to common shareholders,17061,17266,10242,7404
Basic EPS,-,0.76,0.45,0.33
Diluted EPS,-,0.76,0.45,0.33
Basic Average Shares,-,22588,22531,22478
Diluted Average Shares,-,22660,22618,22548
