Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-765.6438,-664.6236,-149.3519,-52.968
Purchases of investments,-,-,-,-23381
Sales/Maturities of investments,-,-,-,12787
Other investing activites,-,-8398,9487,-
Net cash used for investing activites,-35793,-9062,9338,-10647
Debt repayment,-,-,-,-77.6256
Common stock issued,55257,20840,7.5146,20515
Common stock repurchased,-2933,-938.5175,-,-1055
Other financing activites,-149.5426,-83.3174,-121.1723,-
Net cash used privided by (used for) financing activities,52174,19818,-113.6577,19457
Net change in cash,4335,564.0682,1977,1276
Cash at beginning of period,2058,3201,1199,252.968
Cash at end of period,6393,3938,3139,1165
Capital Expenditure,-765.6438,-664.6236,-149.3519,-52.968
Free Cash Flow,-12811,-10856,-7396,-7587
