Breakdown,ttm,12/31/2019,12/31/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-23.809,-221.375
Net cash used for investing activites,-,-,1.055,-23.809,-221.375
Common stock issued,417,417,4172,200,14751
Common stock repurchased,-25.646,-25.646,-339.26,-8.184,-981.57
Net cash used privided by (used for) financing activities,391.354,391.354,3832,191.816,13769
Net change in cash,417.636,417.636,-4205,-7166,8813
Cash at beginning of period,2611,2611,6642,14376,5579
Cash at end of period,3039,3039,2611,7017,14376
Capital Expenditure,-,-,-,-23.809,-221.375
Free Cash Flow,26.282,26.282,-8038,-7358,-4956
