Attribute,Value
Previous Close,100.02
Open,100.02
Bid,99.98 x 4000
Ask,100.02 x 4000
Day's Range,100.02 - 100.02
52 Week Range,99.98 - 100.02
Volume,0
Avg. Volume,0
Net Assets,5.3M
NAV,12.59
PE Ratio (TTM),
Yield,1.03%
YTD Daily Total Return,-11.52%
Beta (5Y Monthly),0.98
Expense Ratio (net),0.65%
Inception Date,2016-02-25
