Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-38979,-38979,-23613,-21466,-47659
Acquisitions net,-8812,-8812,-,-,-
Purchases of investments,-,-,-,-,-10510
Sales/Maturities of investments,-,-,62054,6236,-
Other investing activites,-,-,20441,1334,64143
Net cash used for investing activites,-27727,-27727,68228,-6999,16535
Debt repayment,-35156,-35156,-17517,-33479,-81365
Dividends Paid,-23060,-23060,-15568,-16377,-18997
Net cash used privided by (used for) financing activities,-54027,-54027,-33084,-49856,-83820
Net change in cash,-37598,-37598,84243,-16370,15890
Cash at beginning of period,79108,79108,-4779,11864,-2874
Cash at end of period,41510,41510,79464,-4506,13016
Capital Expenditure,-38979,-38979,-23613,-21466,-47659
Free Cash Flow,5177,5177,25487,19019,35516
