Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-937329,-752440,-753667,-269443,-803331
Sales/Maturities of investments,946471,810462,689030,216497,610811
Net cash used for investing activites,-4306,58022,-64637,-52946,-192520
Debt repayment,-,-100,-,-,-
Common stock issued,-,-,-,-,153264
Common stock repurchased,-152,-141,-136,-59,-476
Dividends Paid,-296134,-295891,-222427,-213712,-204131
Net cash used privided by (used for) financing activities,-296286,-296132,-222463,-224493,-51343
Net change in cash,758,107246,-5942,-50778,-7937
Cash at beginning of period,178266,99183,105125,155903,163840
Cash at end of period,179024,206429,99183,105125,155903
Free Cash Flow,301350,345356,281158,226661,235926
