Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10.13,-5.35,-3.207,-4.778,-27.194
Other investing activites,-,-2100,-2718,-6594,-
Net cash used for investing activites,-1558,-2105,-2721,-6598,5158
Debt repayment,-2263,-560.031,-,-,-10687
Common stock issued,4796,6.232,12868,1503,9267
Common stock repurchased,-,-,-901.699,-79.84,-593.802
Other financing activites,-,-140.008,25,-,44.5
Net cash used privided by (used for) financing activities,2597,-421.501,9104,10055,-835.292
Net change in cash,-1141,-4246,4435,158.053,-1342
Cash at beginning of period,4122,6469,2126,1724,2944
Cash at end of period,2981,2147,6469,2126,1724
Capital Expenditure,-10.13,-5.35,-3.207,-4.778,-27.194
Free Cash Flow,-2191,-1725,-1952,-3303,-5691
