Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4174,-5636,-3872,-8184,-2867
Purchases of investments,-,-225,-257.903,-21.301,-802.242
Sales/Maturities of investments,-,838.968,2166,9586,4839
Other investing activites,174.056,149.63,333.517,-16.042,375.917
Net cash used for investing activites,-2471,-4643,-1630,1365,1546
Debt repayment,-,-,-,-15.312,-
Common stock issued,-,-,2923,151.25,-
Common stock repurchased,-,-,-182.452,-,-
Other financing activites,-159.815,-110.817,-61.512,-,-24.514
Net cash used privided by (used for) financing activities,6007,439.459,5377,133.554,-28.945
Net change in cash,805.145,-2891,1725,503.853,824.069
Cash at beginning of period,1628,3792,2067,1563,739.096
Cash at end of period,2433,901.148,3792,2067,1563
Capital Expenditure,-4174,-5636,-3872,-8184,-2867
Free Cash Flow,-6905,-4324,-5894,-9179,-3560
