Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-410,-599,-555,-2150,-3691
Purchases of investments,-,-,-,-3370,-1392
Sales/Maturities of investments,-,-,-,7784,-
Other investing activites,-,-922,10082,-,-
Net cash used for investing activites,153,-2212,9527,2264,-5062
Debt repayment,-8148,-6000,-10000,-,-
Common stock issued,-,9309,-,12052,-
Common stock repurchased,-48,-82,-193,-98,-180
Other financing activites,-,-2725,-2646,-,-
Net cash used privided by (used for) financing activities,5168,13207,-12734,22954,9820
Net change in cash,-2199,339,-13053,14994,-1747
Cash at beginning of period,6841,4585,17669,2497,4229
Cash at end of period,4642,4929,4585,17669,2497
Capital Expenditure,-410,-599,-555,-2150,-3691
Free Cash Flow,-7930,-11255,-10401,-12374,-10196
