Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5997,-10403,-6425,-7106,-450.83
Other investing activites,-,-,-,-97,-94.263
Net cash used for investing activites,-5867,-10212,-6377,-7184,-542.321
Debt repayment,-,-,-,-102,-50
Common stock issued,5891,5496,20150,17415,4067
Common stock repurchased,-,-362,-239,-912,-237.197
Net cash used privided by (used for) financing activities,5529,5134,19911,16401,3891
Net change in cash,-8643,-12895,8695,5210,2317
Cash at beginning of period,8067,16393,7339,2417,100.256
Cash at end of period,-576,5474,16393,7339,2417
Capital Expenditure,-5997,-10403,-6425,-7106,-450.83
Free Cash Flow,-14302,-18220,-11264,-11113,-1483
