Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,1321,-170.371,-591.325,-81.536,-562.897
Other investing activites,-,-1328,-229.015,12.737,-
Net cash used for investing activites,-66.189,-1493,-820.34,-68.799,9437
Common stock issued,6713,3000,12070,6420,-
Common stock repurchased,-458.369,-203.593,-843.118,-370.755,-
Net cash used privided by (used for) financing activities,6254,2796,11227,13549,7500
Net change in cash,777.87,-5757,1653,509.363,-1873
Cash at beginning of period,3630,6735,5082,4573,6446
Cash at end of period,4408,977.759,6735,5082,4573
Capital Expenditure,1321,-170.371,-591.325,-81.536,-562.897
Free Cash Flow,-4090,-7230,-9345,-13053,-19373
