Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-45016,265554,148882,349784
Depreciation & amortization,-,54032,72668,59788
Change in working capital,-,-47969,269590,-64312
Inventory,-,-2842,1161,8171
Other working capital,-,23078,348819,304898
Other non-cash items,-,29131,58620,29474
Net cash provided by operating activites,-,33354,493332,371891
Investments in property plant and equipment,-,-10276,-144513,-66993
Acquisitions net,-,-10900,-3703,-26388
Purchases of investments,-,-1228834,-252,-10787
Sales/Maturities of investments,-,1439793,11072,15868
Other investing activites,-,-4476,-401880,-42802
Net cash used for investing activites,-,201955,-240122,-120768
Net change in cash,-,-53782,159213,111032
Cash at beginning of period,-,476831,317618,188350
Cash at end of period,-,423049,476831,317618
Operating Cash Flow,-,33354,493332,371891
Capital Expenditure,-,-10276,-144513,-66993
Free Cash Flow,-,23078,348819,304898
