Breakdown,ttm,2/28/2019,2/28/2018
Total Revenue,2923295,2923295,1810024
Cost of Revenue,2483727,2483727,1587420
Gross Profit,439567,439567,222603
Total Operating Expenses,258333,258333,233838
Operating Income or Loss,181234,181234,-11235
Interest Expense,1939,1939,3488
Income Before Tax,207791,207791,1878
Income Tax Expense,73135,73135,-4157
Income from Continuing Operations,134656,134656,6035
Net Income,134655,134655,6035
Net Income available to common shareholders,134655,134655,6035
Basic EPS,-,-,120.77
Diluted EPS,-,-,120.77
Basic Average Shares,-,-,49.973
Diluted Average Shares,-,-,49.973
