Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1883776,1285585,984965,837113
Liabilities,,,,
Total Liabilities,339,1683,2190,2847
Stockholders' Equity,,,,
Common Stock,1721309,1189542,944078,827650
Retained Earnings,161120,93352,37731,5840
Total stockholders' equity,1883437,1283902,982775,834266
Total liabilities and stockholders' equity,1883776,1285585,984965,837113
