Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1369000,1381000,979000,1246000
Depreciation & amortization,-,482000,310000,342000
Change in working capital,-,-60000,-893000,-685000
Inventory,-,-379000,-546000,-31000
Other working capital,-,547000,-1184000,-989000
Other non-cash items,-,-17000,141000,83000
Net cash provided by operating activites,-,1923000,573000,904000
Investments in property plant and equipment,-,-1376000,-1757000,-1893000
Purchases of investments,-,-1635000,-780000,-1217000
Sales/Maturities of investments,-,939000,944000,1819000
Other investing activites,-,-24000,-7000,78000
Net cash used for investing activites,-,-1896000,-1545000,-1184000
Net change in cash,-,264000,-280000,-1225000
Cash at beginning of period,-,4747000,5027000,6253000
Cash at end of period,-,5012000,4747000,5027000
Operating Cash Flow,-,1923000,573000,904000
Capital Expenditure,-,-1376000,-1757000,-1893000
Free Cash Flow,-,547000,-1184000,-989000
