Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,9/30/2016,8/31/2016
Net Income,878000,878000,1007000,1198000,818000,818000
Depreciation & amortization,612000,612000,574000,571000,486000,486000
Stock based compensation,22000,22000,19000,21000,7000,7000
Change in working capital,-169000,-169000,-184000,123000,-7000,-7000
Inventory,-202000,-202000,-35000,-40000,-62000,-62000
Other working capital,772000,772000,562000,775000,506000,514000
Other non-cash items,111000,111000,61000,56000,40000,40000
Net cash provided by operating activites,1509000,1509000,1430000,1641000,1310000,1310000
Investments in property plant and equipment,-737000,-737000,-868000,-866000,-804000,-796000
Acquisitions net,-84000,-84000,-208000,-79000,-10000,-10000
Other investing activites,-,-,-,-,0,-8000
Net cash used for investing activites,-731000,-731000,-1000000,-367000,-756000,-756000
Net change in cash,87000,87000,-103000,939000,-,-165000
Cash at beginning of period,1271000,1271000,1386000,462000,585000,585000
Cash at end of period,1358000,1358000,1271000,1386000,462000,462000
Operating Cash Flow,1509000,1509000,1430000,1641000,1310000,1310000
Capital Expenditure,-737000,-737000,-868000,-866000,-804000,-796000
Free Cash Flow,772000,772000,562000,775000,506000,514000
