Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,685629,569200,584711,518844
Liabilities,,,,
Total Liabilities,85141,85747,86773,87334
Stockholders' Equity,,,,
Common Stock,36880,35233,33994,33349
Total stockholders' equity,600488,483453,497938,431510
Total liabilities and stockholders' equity,685629,569200,584711,518844
