Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,355150,308158,189271
Liabilities,,,
Total Liabilities,101952,79634,45020
Stockholders' Equity,,,
Total stockholders' equity,253198,228524,144251
Total liabilities and stockholders' equity,355150,308158,189271
