Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,87995,87995,85641,69367,61183
Interest Expense,40951,40951,27416,15687,16295
Income Before Tax,30343,30343,24245,20213,13261
Income Tax Expense,9309,9309,7482,10231,5258
Income from Continuing Operations,21034,21034,16763,9982,8003
Net Income,21034,21034,16763,9982,8003
Net Income available to common shareholders,19688,19688,15810,9368,7067
Basic EPS,-,-,1.02,0.76,0.63
Diluted EPS,-,-,1.01,0.75,0.63
Basic Average Shares,-,-,15567,12403,11238
Diluted Average Shares,-,-,15661,12508,11251
