Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-2641,-4926,-2247,-775
Other investing activites,-,-,-48,-27
Net cash used for investing activites,-2574,-4926,-2295,-802
Common stock issued,2924,7194,-,6000
Common stock repurchased,-272.462,-518.176,-,-563
Other financing activites,-,-95.632,141,-
Net cash used privided by (used for) financing activities,2545,6580,141,5437
Net change in cash,-2661,216.838,-2915,4156
Cash at beginning of period,4689,1241,4156,-
Cash at end of period,2028,1457,1241,4156
Capital Expenditure,-2641,-4926,-2247,-775
Free Cash Flow,-5274,-6364,-3008,-1254
