Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,11508000,12445000,11840000,14157000
Depreciation & amortization,-,3404000,3197000,2870000
Change in working capital,-,-6002000,-9316000,763000
Inventory,-,-3342000,5064000,83000
Other working capital,-,4733000,3067000,11852000
Other non-cash items,-,765000,1942000,-1168000
Net cash provided by operating activites,-,11777000,7264000,16422000
Investments in property plant and equipment,-,-7044000,-4197000,-4570000
Purchases of investments,-,-,-,-5054000
Sales/Maturities of investments,-,1191000,-,5006000
Other investing activites,-,-217000,-2103000,-19589000
Net cash used for investing activites,-,-6070000,-6300000,-24207000
Net change in cash,-,2491000,-4361000,-8667000
Cash at beginning of period,-,10446000,14655000,23323000
Cash at end of period,-,12937000,10446000,14655000
Operating Cash Flow,-,11777000,7264000,16422000
Capital Expenditure,-,-7044000,-4197000,-4570000
Free Cash Flow,-,4733000,3067000,11852000
