Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1152034,1005677,866470,764843
Liabilities,,,,
Total Liabilities,1021778,884599,781728,688273
Stockholders' Equity,,,,
Common Stock,106427,104561,76936,68750
Retained Earnings,23518,16517,7804,7821
Accumulated other comprehensive income,311,0.856,2.741,-1.49
Total stockholders' equity,130256,121079,84743,76570
Total liabilities and stockholders' equity,1152034,1005677,866470,764843
