Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,854988,840987,800589
Liabilities,,,
Total Liabilities,302871,299879,339525
Stockholders' Equity,,,
Common Stock,0,0,0
Retained Earnings,353991,391276,344605
Accumulated other comprehensive income,0,-26055,-27783
Total stockholders' equity,552117,541108,461064
Total liabilities and stockholders' equity,854988,840987,800589
