Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-54.929,-54.929,-0.816,-25.183,-36.716
Purchases of investments,-4.324,-4.324,-144.882,-0.896,-
Sales/Maturities of investments,51.018,51.018,-,-0.896,18.054
Net cash used for investing activites,-8.235,-8.235,-145.698,-1.079,-18.662
Other financing activites,-,-,-28.238,-48.793,-76.242
Net cash used privided by (used for) financing activities,-,-,-28.238,-48.793,-76.242
Net change in cash,-119.795,-119.795,50.546,30.717,194.213
Cash at beginning of period,121.205,121.205,70.659,39.942,-154.271
Cash at end of period,1.41,1.41,121.205,70.659,39.942
Capital Expenditure,-54.929,-54.929,-0.816,-25.183,-36.716
Free Cash Flow,-166.489,-166.489,223.666,55.406,252.401
