Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,166766000,172374000,169486000,202704000
Selling General and Administrative,88108000,90235000,92871000,89147000
Total Operating Expenses,101021000,103407000,107260000,151694000
Interest Expense,30008000,27135000,16415000,14661000
Income Before Tax,60306000,66681000,71630000,46808000
Income Tax Expense,18384000,19738000,21463000,17466000
Income from Continuing Operations,41922000,46943000,50167000,29342000
Net Income,41849000,46874000,50130000,29276000
Net Income available to common shareholders,41849000,46874000,50130000,29276000
Basic EPS,-,79.31,83.71,47.98
Diluted EPS,-,76.93,78.32,45.18
Basic Average Shares,-,591009,598834,610089
Diluted Average Shares,-,609307,640066,647986
