Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1334444,1050811,982173,854005
Liabilities,,,,
Total Liabilities,1137733,879000,833605,725825
Stockholders' Equity,,,,
Common Stock,37217,34997,33250,31442
Retained Earnings,101256,95202,77521,63030
Accumulated other comprehensive income,13727,-2.823,603.17,264.822
Total stockholders' equity,196711,171811,148568,128180
Total liabilities and stockholders' equity,1334444,1050811,982173,854005
