Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-1887,-1894,-,-
Net cash used for investing activites,-,-1887,-1894,-,-
Debt repayment,-,-,-261.51,-3626,-
Common stock issued,-,6953,2163,5977,-
Common stock repurchased,-,-23.852,-114.724,-282.361,-
Other financing activites,-,-0.022,-0.244,-0.404,-1.69
Net cash used privided by (used for) financing activities,7718,10673,3287,2302,1585
Net change in cash,1053,6140,-718.547,807.037,-13.284
Cash at beginning of period,257.211,116.21,834.757,27.72,41.004
Cash at end of period,1311,6257,116.21,834.757,27.72
Capital Expenditure,-,-1887,-1894,-,-
Free Cash Flow,-6665,-4533,-4005,-1495,-1598
