Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10806000,9046000,3906000,4698000
Depreciation & amortization,1632000,1340000,818000,718000
Change in working capital,986000,-392000,-1290000,9241000
Inventory,-117000,-197000,-159000,575000
Other working capital,8634000,-260000,3045000,10393000
Other non-cash items,1200000,133000,2589000,-2577000
Net cash provided by operating activites,11443000,6786000,6306000,10845000
Investments in property plant and equipment,-2809000,-7046000,-3261000,-452000
Purchases of investments,-16028000,-19030000,-13824000,-6328000
Sales/Maturities of investments,17792000,22694000,16497000,5265000
Other investing activites,-69000,-83000,-2009000,-104000
Net cash used for investing activites,-667000,-3775000,-2510000,-1644000
Net change in cash,2283000,-2254000,5679000,6686000
Cash at beginning of period,35678000,44866000,39187000,32501000
Cash at end of period,38081000,42612000,44866000,39187000
Operating Cash Flow,11443000,6786000,6306000,10845000
Capital Expenditure,-2809000,-7046000,-3261000,-452000
Free Cash Flow,8634000,-260000,3045000,10393000
