Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,137545,137545,-175990,47676,7532
Depreciation & amortization,4630,4630,18743,3245,13960
Change in working capital,-31821,-31821,38838,38866,27042
Other working capital,4459,4459,-113266,204450,-89056
Other non-cash items,-12630,-12630,-382,2501,3518
Net cash provided by operating activites,10850,10850,-98071,204450,-80349
Investments in property plant and equipment,-6391,-6391,-15195,-,-8707
Acquisitions net,-100000,-100000,-94800,-,-
Purchases of investments,-12500,-12500,-,-13500,-65000
Sales/Maturities of investments,-,-,3322,-,-
Other investing activites,19649,19649,-2592,-109983,-8159
Net cash used for investing activites,37705,37705,106535,-123483,202334
Net change in cash,48072,48072,-23755,80820,-54166
Cash at beginning of period,512885,512885,536641,455820,509987
Cash at end of period,560958,560958,512885,536641,455820
Operating Cash Flow,10850,10850,-98071,204450,-80349
Capital Expenditure,-6391,-6391,-15195,-,-8707
Free Cash Flow,4459,4459,-113266,204450,-89056
