Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-15088,-15088,-4730,-5021,-55257
Purchases of investments,-47607,-47607,-18868,-22945,-8639
Sales/Maturities of investments,-,28368,-,-,-
Other investing activites,29700,29700,-121816,-3759,-2311
Net cash used for investing activites,-24006,-24006,-140679,-29802,-65168
Common stock issued,18464,18464,46075,33000,30509
Common stock repurchased,-462,-462,-271,-1338,31962
Dividends Paid,-18931,-18931,-14257,-15315,-9897
Other financing activites,-,-,-,-,-289
Net cash used privided by (used for) financing activities,23205,23205,137565,24566,52285
Net change in cash,1926,1926,1630,7533,704
Cash at beginning of period,17355,17355,15725,8192,7488
Cash at end of period,19281,19281,17355,15725,8192
Capital Expenditure,-15088,-15088,-4730,-5021,-55257
Free Cash Flow,-12361,-12361,14,7748,-41670
