Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,800048,752969,739110,716000
Liabilities,,,,
Total Liabilities,722829,686295,680956,663849
Stockholders' Equity,,,,
Common Stock,6212,6197,6182,6162
Retained Earnings,62583,54814,45670,39756
Accumulated other comprehensive income,724,-1808,-958,-860
Total stockholders' equity,77219,66674,58154,52151
Total liabilities and stockholders' equity,800048,752969,739110,716000
