Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-347.945,-507.589
Net cash used for investing activites,-347.945,-507.589
Common stock issued,-,4879
Common stock repurchased,-,-468.75
Net cash used privided by (used for) financing activities,-,4411
Net change in cash,-870.015,2958
Cash at beginning of period,3581,106.083
Cash at end of period,2711,3064
Capital Expenditure,-347.945,-507.589
Free Cash Flow,-918.641,-1452
