Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,23124,21384,17968,16692
Interest Expense,-1111,269.868,2988,2971
Income Before Tax,21824,20131,16121,15073
Income Tax Expense,725.08,724.718,816.964,1045
Income from Continuing Operations,21099,19406,15304,14029
Net Income,21099,19406,15304,14029
Net Income available to common shareholders,18152,17107,15304,14029
Basic EPS,-,0.19,0.18,0.17
Diluted EPS,-,0.19,0.18,0.17
Basic Average Shares,-,88796,86014,82995
Diluted Average Shares,-,88796,86014,82995
