Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-219117,-145096,-273814,44721
Depreciation & amortization,-,13112,10632,11961
Change in working capital,-,-221905,180862,-69130
Inventory,-,-147264,122499,-40261
Other working capital,-,-334328,-100433,-91434
Other non-cash items,-,7800,4259,-25723
Net cash provided by operating activites,-,-318719,-100433,-90210
Investments in property plant and equipment,-,-15609,-,-1224
Acquisitions net,-,-10000,-,-
Purchases of investments,-,-36152,-,-
Sales/Maturities of investments,-,-,90840,59400
Other investing activites,-,10869,-1527,4035
Net cash used for investing activites,-,-50892,89313,62211
Net change in cash,-,-369878,-61910,-32013
Cash at beginning of period,-,766326,828236,860250
Cash at end of period,-,396448,766326,828236
Operating Cash Flow,-,-318719,-100433,-90210
Capital Expenditure,-,-15609,-,-1224
Free Cash Flow,-,-334328,-100433,-91434
