Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-147.663,-103.89,-405.58,-3018,-201.69
Other investing activites,-,-,-115.757,-,24.536
Net cash used for investing activites,-147.663,-103.89,-521.337,-3018,-177.154
Debt repayment,-,-,-,-94.405,-
Common stock issued,17100,975,9530,8000,5100
Common stock repurchased,-,-,-100.626,-537.068,-655.84
Net cash used privided by (used for) financing activities,17117,975,9429,7369,5041
Net change in cash,8881,-6074,5640,1946,2318
Cash at beginning of period,7376,10475,4835,2889,571.366
Cash at end of period,16258,4401,10475,4835,2889
Capital Expenditure,-147.663,-103.89,-405.58,-3018,-201.69
Free Cash Flow,-8236,-7049,-3673,-5423,-2748
