Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-12.353,-12.353,-83.565,-369.606
Net cash used for investing activites,-12.353,-12.353,-83.565,-369.606
Debt repayment,-,-,-,-3109
Common stock issued,3374,3374,4286,18208
Common stock repurchased,-13.305,-13.305,-54.189,-1109
Other financing activites,-120.165,-120.165,-128.493,-99.294
Net cash used privided by (used for) financing activities,3326,3326,4103,14185
Net change in cash,-868.684,-868.684,-2548,6838
Cash at beginning of period,4367,4367,6873,27.641
Cash at end of period,3402,3402,4367,6873
Capital Expenditure,-12.353,-12.353,-83.565,-369.606
Free Cash Flow,-4194,-4194,-6651,-7347
