Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,13057,13057,10765,9077,9090
Income Before Tax,2096,2096,1367,766.739,1335
Income Tax Expense,634.703,634.703,303.037,-1794,269.8
Income from Continuing Operations,1461,1461,1064,2561,1065
Net Income,1461,1461,1064,2561,1065
Net Income available to common shareholders,1461,1461,1064,2561,1065
Basic EPS,-,0.03,0.02,0.05,0.02
Diluted EPS,-,0.03,0.02,0.05,0.02
Basic Average Shares,-,55222,54942,48804,49122
Diluted Average Shares,-,55222,54942,50218,50730
