Breakdown,ttm,12/31/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-200081,-200081,-316.23,-121.411,-21.409
Other investing activites,-8887,-8887,-,-,-
Net cash used for investing activites,-208968,-208968,-316.23,-121.411,-21.409
Debt repayment,-19077,-19077,-,-6757,-
Common stock issued,989,989,58112,21477,14845
Common stock repurchased,-17,-17,-3113,-1384,-860.388
Other financing activites,-1130,-1130,-,-,-
Net cash used privided by (used for) financing activities,232564,232564,54999,13336,13984
Net change in cash,17009,17009,31637,-995.069,7689
Cash at beginning of period,66355,66355,10550,11377,3512
Cash at end of period,83584,83584,42565,10550,11377
Capital Expenditure,-200081,-200081,-316.23,-121.411,-21.409
Free Cash Flow,-206668,-206668,-23363,-14331,-6295
