Breakdown,ttm,2/28/2019,2/28/2018
Net Income,27488,27488,-58579
Depreciation & amortization,9319,9319,3166
Change in working capital,16520,16520,14784
Inventory,211,211,-211
Other working capital,24151,24151,-46210
Other non-cash items,1500,1500,782
Net cash provided by operating activites,46678,46678,-39543
Investments in property plant and equipment,-22527,-22527,-6667
Other investing activites,-24730,-24730,309
Net cash used for investing activites,-47257,-47257,-6358
Net change in cash,-17110,-17110,148681
Cash at beginning of period,257874,257874,109192
Cash at end of period,240764,240764,257874
Operating Cash Flow,46678,46678,-39543
Capital Expenditure,-22527,-22527,-6667
Free Cash Flow,24151,24151,-46210
