Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,190013,779814,374479,484739
Depreciation & amortization,-,193371,125906,120734
Change in working capital,-,1753570,-720616,-2680
Inventory,-,1927655,746,-947
Other working capital,-,2716942,-1013839,527364
Other non-cash items,-,-85084,3728,-17217
Net cash provided by operating activites,-,2935175,-373907,896931
Investments in property plant and equipment,-,-218233,-639932,-369567
Acquisitions net,-,-385000,-,-
Purchases of investments,-,-3402,-2824,-77281
Sales/Maturities of investments,-,-,-,15000
Other investing activites,-,-17399,-10932,-12817
Net cash used for investing activites,-,-608326,-649514,-284177
Net change in cash,-,2447955,-916190,820675
Cash at beginning of period,-,2182181,2898151,2077476
Cash at end of period,-,4630136,1981960,2898151
Operating Cash Flow,-,2935175,-373907,896931
Capital Expenditure,-,-218233,-639932,-369567
Free Cash Flow,-,2716942,-1013839,527364
