Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,376555,11281,453021,397602
Depreciation & amortization,-,126982,78253,42332
Change in working capital,-,-407359,-93773,-50256
Inventory,-,-34145,814,-814
Other working capital,-,-362198,-252084,223851
Other non-cash items,-,-17192,18927,-30547
Net cash provided by operating activites,-,-250525,-47552,362947
Investments in property plant and equipment,-,-111673,-204532,-139096
Acquisitions net,-,-10000,-80000,-
Purchases of investments,-,-60000,-93000,-80000
Other investing activites,-,-44717,-17898,65393
Net cash used for investing activites,-,-202090,-395430,-153703
Net change in cash,-,-527278,-392339,221660
Cash at beginning of period,-,1654957,2038659,1816999
Cash at end of period,-,1127679,1654957,2038659
Operating Cash Flow,-,-250525,-47552,362947
Capital Expenditure,-,-111673,-204532,-139096
Free Cash Flow,-,-362198,-252084,223851
