Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,33276000,46252000,68448000,41429000
Depreciation & amortization,-,79979000,82298000,75660000
Change in working capital,-,5513000,-19111000,-16137000
Inventory,-,-1315000,-5121000,-5503000
Other working capital,-,148423000,160310000,115440000
Other non-cash items,-,36388000,35250000,36584000
Net cash provided by operating activites,-,148423000,160310000,115440000
Other investing activites,-,-106385000,-103729000,-122235000
Net cash used for investing activites,-,-170432000,-109635000,-137663000
Net change in cash,-,50237000,-31614000,8505000
Cash at beginning of period,-,136840000,168454000,159949000
Cash at end of period,-,187077000,136840000,168454000
Operating Cash Flow,-,148423000,160310000,115440000
Free Cash Flow,-,148423000,160310000,115440000
