Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-20952,-27474,-27497,-71219,-45747
Acquisitions net,-,-,-,-,-7291
Purchases of investments,-84447,-155733,-87745,-101523,-40151
Sales/Maturities of investments,-,-,-,10345,1744
Other investing activites,2281,2322,-1158,60,-
Net cash used for investing activites,-31061,-180804,-116370,-162326,-91434
Debt repayment,-90762,-199569,-,-,-657
Common stock issued,5684,148837,2636,136696,35148
Dividends Paid,-35157,-32461,-25323,-18654,-13045
Net cash used privided by (used for) financing activities,18773,138453,82770,136216,79525
Net change in cash,30452,1378,-2628,804,2322
Cash at beginning of period,11259,1210,3838,3034,712
Cash at end of period,41711,2588,1210,3838,3034
Capital Expenditure,-20952,-27474,-27497,-71219,-45747
Free Cash Flow,21788,16255,3475,-44305,-31516
