Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-154.843,-154.843,-437.6367,-412.6154,-574.8494
Net cash used for investing activites,-154.843,-154.843,-437.6367,-412.6154,-574.8494
Common stock issued,-,-,14433,31200,29033
Other financing activites,-,-,-,145.1038,-
Net cash used privided by (used for) financing activities,-,-,14433,31345,29033
Net change in cash,-24229,-24229,-9752,13181,13915
Cash at beginning of period,36043,36043,45530,28017,16286
Cash at end of period,11814,11814,35778,41199,30201
Capital Expenditure,-154.843,-154.843,-437.6367,-412.6154,-574.8494
Free Cash Flow,-24229,-24229,-24185,-18164,-15118
